防疫类,通知类,科普类,福利类,内容标题,发表时间,总阅读人数,总阅读次数,总分享人数,总分享次数,阅读后关注人数,送达人数,公众号消息阅读次数,送达阅读率,首次分享次数,分享产生阅读次数,首次分享率,每次分享带来阅读次数,阅读完成率,内容url
1,1,0,0,阳了怎么办？金山街道发热诊室联系方式公布！,20221222,8305,10481,559,670,11,43850,4922,0.1122,385,5001,0.0782,7.4642,0.4696,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484403&idx=1&sn=7431eb0910e65b879fc3ededf98eefd6&chksm=c281b39ff5f63a8904ac74850db18d390a7805ecbe2d0bff856d3620fcacedfd2903bf5bd4af#rd
1,1,0,0,核酸检测 | 仓山区“防疫便民地图”升级啦！单管！混管！一目了然！,20221222,1118,1346,29,31,3,43850,872,0.0199,19,377,0.0218,12.1613,0.4774,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484403&idx=3&sn=b0395cb93ffc4c747d87d1a5f6059f75&chksm=c281b39ff5f63a89a9523e35e21da98c732ea295a53d9d3c701b30b53627375f21f76ad4e310#rd
1,0,1,0,防疫科普 | 一直咳嗽怎么办？被子会传播病毒吗？居家康复20问20答,20221222,726,858,38,47,0,43850,643,0.0147,42,175,0.0653,3.7234,0.4504,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484403&idx=4&sn=cb848e635bed5d6d751164500bc58e67&chksm=c281b39ff5f63a89f86fc35c51c52bf7e67eaf183d339eb9d7e77fe7dca617a38106ae2b1e30#rd
0,1,0,1,冬至福利 | 免费水果第二波火爆开启，还没参加的请速度啦!,20221222,637,785,22,23,1,43850,568,0.013,17,147,0.0299,6.3913,0.2341,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484403&idx=2&sn=6ac9b0b93833046051fedeb1f97c6b84&chksm=c281b39ff5f63a89e7e27129be714f65309d026c690456e94954c13642b779f602bff85c71b7#rd
1,1,0,0,仓山区部分常态化核酸采样点新增单人单管服务,20221215,6649,8991,362,419,7,43750,5737,0.1311,280,2944,0.0488,7.0263,0.2761,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484250&idx=1&sn=c8fbe6b048f9baa8a6ece3d9d4c816ae&chksm=c281b336f5f63a201547065b8490aa279b22617ee24dc4102d2dac0139ae54288268e51a6450#rd
0,1,0,1,送福利啦！爱心水果免费送~快抢~,20221215,1324,1854,75,93,4,43750,686,0.0157,35,1097,0.051,11.7957,0.2885,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484250&idx=2&sn=728bf4d3786f253eb1d258678a0af8b9&chksm=c281b336f5f63a202727feb800c8809d70bf00843cee71e3f7567c0261ff5a7faba68ac5e483#rd
1,0,1,0,新型冠状病毒阳性感染者居家康复专家指引（第一版）,20221208,3649,4452,329,410,3,43986,2392,0.0544,251,1828,0.1049,4.4585,0.3229,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484091&idx=1&sn=9ec057efd47cb98ba8ed1594b48aadec&chksm=c281b2d7f5f63bc12625dd833cda1aa5cd951d11df5580dbdcfc0b19bc7f3c42a819beb78f14#rd
1,0,1,0,抗原自测怎么测？教程来了！,20221208,656,775,41,45,0,43986,594,0.0135,36,130,0.0606,2.8889,0.5059,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484091&idx=3&sn=b50798a100e3f0a9dc7df544cd1dbc41&chksm=c281b2d7f5f63bc1251dc77b3c369c0f70268034205375a0ceffa807f52c79bafd56792c1cb7#rd
1,0,1,0,一图看懂！不同人群健康防护指南来了,20221208,443,509,28,30,0,43986,376,0.0085,27,99,0.0718,3.3,0.3324,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484091&idx=2&sn=4b9cf51365e64b0bf88a1b2c44bc0789&chksm=c281b2d7f5f63bc11aa74e2168648b5823677cd0dd5ff766d70debb74a28f77ab2c97106bac7#rd
0,1,0,0,金山街道致在外乡亲的一封信,20221202,4692,5317,107,117,1,44117,3801,0.0862,80,1433,0.021,12.2479,0.1987,http://mp.weixin.qq.com/s?__biz=MzkzODM4NzcxNQ==&mid=2247484052&idx=1&sn=f170bb39e4fa1e700ab4c675ad477fbc&chksm=c281b2f8f5f63beecc43c96e74ba9b7ca105439c1b63b061d569729ac62cb6c1ffc11dd883af#rd
