菜单分析（2022-10-01至2022-12-29）,,,,,
版本,一级菜单,二级菜单,菜单点击次数,菜单点击人数,人均点击次数
,,,,,
2022122401,你呼我应,-,554,477,1.16
2022122401,便民服务,-,1299,878,1.48
2022122401,发热诊室,发热诊室,1313,992,1.32
2022122401,发热诊室,核酸检测点位图,371,245,1.51
2022120801,你呼我应,-,1235,1025,1.2
2022120801,便民服务,-,3149,1995,1.58
2022120801,疫情防控,健康信息上报,205,169,1.21
2022120801,疫情防控,核酸检测点位图,1938,1159,1.67
2022120503,你呼我应,-,100,74,1.35
2022120503,便民服务,-,183,119,1.54
2022120503,疫情防控,健康信息上报,64,35,1.83
2022120503,疫情防控,核酸检测点位图,244,154,1.58
2022120503,疫情防控,卡口管理指南,24,21,1.14
2022120502,你呼我应,-,1,1,1
2022120502,便民服务,-,1,1,1
2022120502,疫情防控,核酸检测点位图,2,2,1
2022120502,疫情防控,我要上报,2,1,2
2022120502,疫情防控,我的上报,2,1,2
2022120501,疫情防控,核酸检测点位图,1,1,1
2022120501,疫情防控,街道综合网格治理,1,1,1
2022120201,你呼我应,-,231,201,1.15
2022120201,便民服务,-,366,284,1.29
2022120201,疫情防控,健康信息上报,358,214,1.67
2022120201,疫情防控,核酸检测点位图,260,198,1.31
2022120201,疫情防控,卡口管理指南,44,41,1.07
2022120103,你呼我应,-,71,55,1.29
2022120103,便民服务,-,137,96,1.43
2022120103,疫情防控,健康信息上报,93,46,2.02
2022120103,疫情防控,核酸预约取号,11,11,1
2022120103,疫情防控,核酸检测点位图,102,77,1.32
2022120103,疫情防控,卡口管理指南,27,25,1.08
2022120102,便民服务,-,1,1,1
2022120102,疫情防控,物业指导规范,1,1,1
2022120101,你呼我应,-,7,7,1
2022120101,便民服务,-,9,9,1
2022120101,疫情防控,健康信息上报,17,8,2.12
2022120101,疫情防控,核酸预约取号,4,4,1
2022120101,疫情防控,核酸检测点位图,13,10,1.3
2022111803,你呼我应,-,1868,1482,1.26
2022111803,便民服务,-,2968,2232,1.33
2022111803,疫情防控,健康信息上报,17178,11611,1.48
2022111803,疫情防控,核酸预约取号,1118,681,1.64
2022111803,疫情防控,核酸检测点位图,1358,934,1.45
2022111802,你呼我应,-,24,22,1.09
2022111802,便民服务,-,43,32,1.34
2022111802,疫情防控,健康信息上报,759,348,2.18
2022111802,疫情防控,核酸检测点位图,12,11,1.09
2022111801,疫情防控,健康信息上报,2,2,1
2022111002,你呼我应,-,2781,2407,1.16
2022111002,便民服务,-,4265,3364,1.27
2022111002,疫情防控,健康信息上报,33733,27347,1.23
2022111002,疫情防控,核酸检测点位图,1379,1066,1.29
2022111001,你呼我应,-,192,174,1.1
2022111001,便民服务,-,281,239,1.18
2022111001,疫情防控,健康信息上报,2602,1768,1.47
2022111001,疫情防控,核酸检测点位图,87,72,1.21
2022110902,你呼我应,-,1829,1511,1.21
2022110902,便民服务,-,2491,1944,1.28
2022110902,疫情防控,健康信息上报,12059,8971,1.34
2022110902,疫情防控,核酸检测点位图,520,433,1.2
2022110901,你呼我应,-,4,4,1
2022110901,便民服务,-,8,8,1
2022110901,疫情防控,健康信息上报,24,21,1.14
2022110901,疫情防控,核酸检测点位图,1,1,1
2022110601,你呼我应,-,6852,5721,1.2
2022110601,便民服务,-,9536,7510,1.27
2022110601,疫情防控,健康信息上报,47064,32845,1.43
2022110601,疫情防控,核酸检测点位图,1458,1270,1.15
2022110302,你呼我应,-,1529,1171,1.31
2022110302,便民服务,-,1936,1457,1.33
2022110302,疫情防控,健康信息上报,6832,4617,1.48
2022110302,疫情防控,核酸检测点位图,590,474,1.24
2022110301,你呼我应,-,1,1,1
2022110301,疫情防控,健康上报,6,4,1.5
2022110301,疫情防控,核酸检测点位图,4,3,1.33
2022102601,你呼我应,-,339,246,1.38
2022102601,便民服务,-,607,331,1.83
2022101401,你呼我应,-,608,381,1.6
2022101401,便民服务,-,785,486,1.62
2022083102,你呼我应,-,884,484,1.83
2022083102,便民服务,-,929,490,1.9
2022083102,线上商城,-,254,198,1.28
