日期,阅读次数,阅读人数,分享次数,分享人数,阅读原文次数,阅读原文人数,收藏次数,收藏人数,群发篇数,渠道
20221229,33,31,3,3,0,0,0,0,0,公众号消息
20221229,73,63,6,6,0,0,0,0,0,聊天会话
20221229,17,14,2,2,0,0,0,0,0,朋友圈
20221229,2,2,0,0,0,0,0,0,0,公众号主页
20221229,26,22,0,0,0,0,0,0,0,其它
20221229,1,1,0,0,0,0,0,0,0,搜一搜
20221229,152,124,11,10,0,0,0,0,0,全部
20221228,79,53,7,6,0,0,0,0,0,公众号消息
20221228,120,80,5,4,0,0,0,0,0,聊天会话
20221228,6,5,1,1,0,0,0,0,0,朋友圈
20221228,8,6,0,0,0,0,0,0,0,公众号主页
20221228,40,30,1,1,0,0,0,0,0,其它
20221228,1,1,0,0,0,0,0,0,0,搜一搜
20221228,254,169,14,12,0,0,3,3,0,全部
20221227,127,92,9,8,0,0,0,0,0,公众号消息
20221227,157,116,3,3,0,0,0,0,0,聊天会话
20221227,26,21,1,1,0,0,0,0,0,朋友圈
20221227,10,10,0,0,0,0,0,0,0,公众号主页
20221227,68,56,0,0,0,0,0,0,0,其它
20221227,3,2,1,1,0,0,0,0,0,搜一搜
20221227,391,269,14,13,0,0,0,0,0,全部
20221226,202,152,26,25,0,0,0,0,0,公众号消息
20221226,488,382,17,15,0,0,0,0,0,聊天会话
20221226,78,70,10,9,0,0,0,0,0,朋友圈
20221226,17,13,1,1,0,0,0,0,0,公众号主页
20221226,119,94,1,1,0,0,0,0,0,其它
20221226,904,674,55,50,0,0,4,4,0,全部
20221225,1169,893,98,88,0,0,0,0,0,公众号消息
20221225,2821,2375,129,112,0,0,0,0,0,聊天会话
20221225,1265,1117,129,111,0,0,0,0,0,朋友圈
20221225,67,56,1,1,0,0,0,0,0,公众号主页
20221225,674,571,1,1,0,0,0,0,0,其它
20221225,1,1,1,1,0,0,0,0,0,搜一搜
20221225,5997,4816,359,311,0,0,45,45,0,全部
20221224,3081,2550,442,370,0,0,0,0,0,公众号消息
20221224,2145,1784,96,86,0,0,0,0,0,聊天会话
20221224,1306,1143,148,126,0,0,0,0,0,朋友圈
20221224,57,41,6,6,0,0,0,0,0,公众号主页
20221224,2627,2307,0,0,0,0,0,0,0,其它
20221224,2,1,1,1,0,0,0,0,0,搜一搜
20221224,9218,7416,693,578,0,0,68,66,0,全部
20221223,912,623,48,39,0,0,0,0,0,公众号消息
