全部关键词（2022-10-01至2022-12-29）,,,,,,,,,
排行,消息关键词,出现次数,,,,,,,
,,,,,,,,,
1,秒杀,608,,,,,,,
2,核酸,381,,,,,,,
3,社区,194,,,,,,,
4,看病,39,,,,,,,
5,金山,34,,,,,,,
6,做,32,,,,,,,
7,信息,31,,,,,,,
8,健康,30,,,,,,,
9,你好,26,,,,,,,
10,检测,26,,,,,,,
11,上报,23,,,,,,,
12,小区,16,,,,,,,
13,检测点,14,,,,,,,
14,点,11,,,,,,,
15,解封,10,,,,,,,
16,24,10,,,,,,,
17,单管,9,,,,,,,
18,请问,8,,,,,,,
19,填写,8,,,,,,,
20,电话,7,,,,,,,
21,填,7,,,,,,,
22,预约,7,,,,,,,
23,登记,6,,,,,,,
24,广场,6,,,,,,,
25,封控,4,,,,,,,
26,水果,4,,,,,,,
27,时间,4,,,,,,,
28,排队,4,,,,,,,
29,报备,4,,,,,,,
30,疫情,4,,,,,,,
31,黄码,4,,,,,,,
32,谢谢,4,,,,,,,
33,居民,4,,,,,,,
34,红星,3,,,,,,,
35,号,3,,,,,,,
36,酒店,2,,,,,,,
37,隔离,2,,,,,,,
38,防控,2,,,,,,,
39,闽江,2,,,,,,,
40,问题,2,,,,,,,
41,码,2,,,,,,,
42,问下,2,,,,,,,
43,金爵,2,,,,,,,
44,金海岸,2,,,,,,,
45,采样点,2,,,,,,,
46,秒,2,,,,,,,
47,通知,2,,,,,,,
48,系统,2,,,,,,,
49,苑,2,,,,,,,
50,晶品,2,,,,,,,
51,药,2,,,,,,,
52,蔚蓝,2,,,,,,,
53,街道,2,,,,,,,
54,表格,2,,,,,,,
55,装修,2,,,,,,,
56,大厅,2,,,,,,,
57,2,2,,,,,,,
58,strong,2,,,,,,,
59,上班,2,,,,,,,
60,上课,2,,,,,,,
61,中天,2,,,,,,,
62,公园,2,,,,,,,
63,写,2,,,,,,,
64,办证,2,,,,,,,
65,取号,2,,,,,,,
66,号楼,2,,,,,,,
67,吃,2,,,,,,,
68,哪里找,2,,,,,,,
69,国际,2,,,,,,,
70,地址,2,,,,,,,
71,地方,2,,,,,,,
72,疫苗,2,,,,,,,
73,居住,2,,,,,,,
74,异常,2,,,,,,,
75,恢复,2,,,,,,,
76,感觉,2,,,,,,,
77,报告,2,,,,,,,
78,排,2,,,,,,,
79,提交,2,,,,,,,
80,早上,2,,,,,,,
81,昨天,2,,,,,,,
82,1,2,,,,,,,
83,榕城,2,,,,,,,
84,泰禾,2,,,,,,,
85,派出所,2,,,,,,,
86,混管,2,,,,,,,
